Parcial	Frecuencia	Amplitud	Fase	Start_time	D_time	D_amp	S_time	S_amp	R_time	R_amp	Off_time
0	392.757	0.288027	-2.60014895374051	0	0.2	1.106516	0.31	0.980918	0.1375	0.31	0.14767
1	785.514	0.0931436	-2.50674260882122	0	0.2	1.106516	0.31	0.980918	0.1375	0.31	0.14767
2	1184.02	0.0249284	1.36218729617566	0	0.2	1.106516	0.31	0.980918	0.1375	0.31	0.14767
3	1582.53	0.0220012	-1.10262098406039	0	0.2	1.106516	0.31	0.980918	0.1375	0.31	0.14767
4	1976.25	0.0226836	-1.45119894344282	0	0.2	1.106516	0.31	0.980918	0.1375	0.31	0.14767
5	2374.76	0.00533475	-2.55953331011748	0	0.2	1.106516	0.31	0.980918	0.1375	0.31	0.14767
6	2761.76	0.00100682	0.825219284401292	0	0.2	1.106516	0.31	0.980918	0.1375	0.31	0.14767
7	3151.64	0.000659172	-1.47107139269407	0	0.2	1.106516	0.31	0.980918	0.1375	0.31	0.14767
