Parcial	Frecuencia	Amplitud	Fase	Start_time	D_time	D_amp	S_time	S_amp	R_time	R_amp	Off_time
0	262.478	0.116309	1.75274676489063	0	0.2	1.106516	0.31	0.980918	0.97	0.980918	1.11767
1	524.348	0.168898	-0.831447998457394	0	0.2	1.106516	0.31	0.980918	0.97	0.980918	1.11767
2	786.827	0.0589462	1.13418077360661	0	0.2	1.106516	0.31	0.980918	0.97	0.980918	1.11767
3	1008.7	0.022478	-2.78328134273135	0	0.2	1.106516	0.31	0.980918	0.97	0.980918	1.11767
4	1310.87	0.0226836	-1.32392955601539	0	0.2	1.106516	0.31	0.980918	0.97	0.980918	1.11767
5	1579.13	0.0084595	-0.410720156405484	0	0.2	1.106516	0.31	0.980918	0.97	0.980918	1.11767
6	1841.61	0.00674346	0.510564042590292	0	0.2	1.106516	0.31	0.980918	0.97	0.980918	1.11767
7	2103.78	0.00975894	0.0419302096017203	0	0.2	1.106516	0.31	0.980918	0.97	0.980918	1.11767
