Parcial	Frecuencia	Amplitud	Fase
0	329.263	0.0705014	0.489291336706681
1	658.621	0.130909	-2.70210796596426
2	987.978	0.177305	0.120397243532271
3	1317.24	0.0312067	1.63343379259143
4	1652.08	0.0413316	3.01749255309446
5	1975.67	0.0132167	-2.79169052223573
6	2305.03	0.00726571	2.73835774238836
7	2634.39	0.00732285	-1.82671244151111
