Parcial	Frecuencia	Amplitud	Fase	Start_time	D_time	D_amp	S_time	S_amp	R_time	R_amp	Off_time
0	145.909	0.0843676	-1.42857167441685	0	0.2	1.106516	0.31	0.980918	0.1375	0.31	0.14767
1	291.461	0.148307	-1.37073170420243	0	0.2	1.106516	0.31	0.980918	0.1375	0.31	0.14767
2	437.726	0.128777	2.2198727700138	0	0.2	1.106516	0.31	0.980918	0.1375	0.31	0.14767
3	588.261	0.0379503	-2.93339063537356	0	0.2	1.106516	0.31	0.980918	0.1375	0.31	0.14767
4	729.543	0.0289062	-0.943926410966575	0	0.2	1.106516	0.31	0.980918	0.1375	0.31	0.14767
5	875.808	0.0290701	0.0597200530780485	0	0.2	1.106516	0.31	0.980918	0.1375	0.31	0.14767
6	1020.29	0.015433	-3.00438910798292	0	0.2	1.106516	0.31	0.980918	0.1375	0.31	0.14767
7	1167.27	0.0159474	1.5781170403126	0	0.2	1.106516	0.31	0.980918	0.1375	0.31	0.14767
