Parcial	Frecuencia	Amplitud	Fase
0	392.757	0.288027	-2.60014895374051
1	785.514	0.0931436	-2.50674260882122
2	1184.02	0.0249284	1.36218729617566
3	1582.53	0.0220012	-1.10262098406039
4	1976.25	0.0226836	-1.45119894344282
5	2374.76	0.00533475	-2.55953331011748
6	2761.76	0.00100682	0.825219284401292
7	3151.64	0.000659172	-1.47107139269407
